date,new_icu_admissions
26-Jan-22,2
27-Jan-22,3
28-Jan-22,1
29-Jan-22,4
30-Jan-22,1
31-Jan-22,0
1-Feb-22,4
2-Feb-22,2
3-Feb-22,5
4-Feb-22,3
5-Feb-22,11
6-Feb-22,6
7-Feb-22,8
8-Feb-22,7
9-Feb-22,15
10-Feb-22,3
11-Feb-22,3
12-Feb-22,7
13-Feb-22,10
14-Feb-22,6
15-Feb-22,6
16-Feb-22,18
17-Feb-22,7
18-Feb-22,11
19-Feb-22,18
20-Feb-22,10
21-Feb-22,10
22-Feb-22,10
23-Feb-22,15
24-Feb-22,10
25-Feb-22,12
26-Feb-22,17
27-Feb-22,9
28-Feb-22,10
1-Mar-22,15
2-Mar-22,17
3-Mar-22,17
4-Mar-22,8
5-Mar-22,8
6-Mar-22,9
7-Mar-22,12
8-Mar-22,12
9-Mar-22,14
10-Mar-22,6
11-Mar-22,9
12-Mar-22,9
13-Mar-22,5
14-Mar-22,9
15-Mar-22,10
16-Mar-22,5
17-Mar-22,3
18-Mar-22,3
19-Mar-22,3
20-Mar-22,1
21-Mar-22,3
22-Mar-22,6
23-Mar-22,8
24-Mar-22,2
25-Mar-22,7
26-Mar-22,1
27-Mar-22,2
28-Mar-22,4
29-Mar-22,2
30-Mar-22,3
31-Mar-22,2
1-Apr-22,0
2-Apr-22,2
3-Apr-22,1
4-Apr-22,4
5-Apr-22,1
6-Apr-22,3
7-Apr-22,2
8-Apr-22,5
9-Apr-22,2
10-Apr-22,2
11-Apr-22,1
12-Apr-22,3
13-Apr-22,0
14-Apr-22,0
15-Apr-22,2
16-Apr-22,1
17-Apr-22,0
18-Apr-22,5
19-Apr-22,2
20-Apr-22,2
21-Apr-22,0
22-Apr-22,4
23-Apr-22,5
24-Apr-22,1
25-Apr-22,0
26-Apr-22,1
27-Apr-22,1
28-Apr-22,0
29-Apr-22,1
30-Apr-22,0
1-May-22,2
2-May-22,0
3-May-22,1
4-May-22,1
5-May-22,1
6-May-22,0
7-May-22,1
8-May-22,2
9-May-22,1
10-May-22,1
11-May-22,1
12-May-22,2
13-May-22,1
14-May-22,2
15-May-22,1
16-May-22,1
17-May-22,1
18-May-22,1
19-May-22,3
20-May-22,2
21-May-22,1
22-May-22,1
23-May-22,1
24-May-22,1
25-May-22,0
26-May-22,6
27-May-22,1
28-May-22,1
29-May-22,5
30-May-22,2
31-May-22,5
1-Jun-22,2
2-Jun-22,0
3-Jun-22,5
4-Jun-22,2
5-Jun-22,1
6-Jun-22,2
7-Jun-22,0
8-Jun-22,1
9-Jun-22,0
10-Jun-22,0
11-Jun-22,0
12-Jun-22,0
13-Jun-22,2
14-Jun-22,1
15-Jun-22,0
16-Jun-22,0
17-Jun-22,2
18-Jun-22,2
19-Jun-22,2
20-Jun-22,2
21-Jun-22,2
22-Jun-22,4
23-Jun-22,0
24-Jun-22,3
25-Jun-22,4
26-Jun-22,2
27-Jun-22,3
28-Jun-22,2
29-Jun-22,0
30-Jun-22,5
1-Jul-22,4
2-Jul-22,4
3-Jul-22,3
4-Jul-22,6
5-Jul-22,4
6-Jul-22,1
7-Jul-22,1
8-Jul-22,3
9-Jul-22,4
10-Jul-22,6
11-Jul-22,2
12-Jul-22,3
13-Jul-22,2
14-Jul-22,10
15-Jul-22,4
16-Jul-22,4
17-Jul-22,1
18-Jul-22,3
19-Jul-22,2
20-Jul-22,5
21-Jul-22,2
22-Jul-22,3
23-Jul-22,1
24-Jul-22,10
25-Jul-22,4
26-Jul-22,5
27-Jul-22,4
28-Jul-22,4
29-Jul-22,5
30-Jul-22,1
31-Jul-22,2
1-Aug-22,4
2-Aug-22,2
3-Aug-22,3
4-Aug-22,5
5-Aug-22,4
6-Aug-22,1
7-Aug-22,11
8-Aug-22,6
9-Aug-22,8
10-Aug-22,4
11-Aug-22,2
12-Aug-22,4
13-Aug-22,5
14-Aug-22,5
15-Aug-22,5
16-Aug-22,0
17-Aug-22,2
18-Aug-22,2
19-Aug-22,1
20-Aug-22,4
21-Aug-22,2
22-Aug-22,1
23-Aug-22,1
24-Aug-22,1
25-Aug-22,1
26-Aug-22,0
27-Aug-22,2
28-Aug-22,0
29-Aug-22,2
30-Aug-22,3
31-Aug-22,2
1-Sep-22,3
2-Sep-22,2
3-Sep-22,2
4-Sep-22,1
5-Sep-22,2
6-Sep-22,1
7-Sep-22,1
8-Sep-22,0
9-Sep-22,0
10-Sep-22,0
11-Sep-22,1
12-Sep-22,0
13-Sep-22,1
14-Sep-22,0
15-Sep-22,0
16-Sep-22,1
17-Sep-22,1
18-Sep-22,1
19-Sep-22,4
20-Sep-22,1
21-Sep-22,1
22-Sep-22,0
23-Sep-22,1
24-Sep-22,1
25-Sep-22,2
26-Sep-22,0
27-Sep-22,1
28-Sep-22,0
29-Sep-22,3
30-Sep-22,1
1-Oct-22,1
2-Oct-22,0
3-Oct-22,1
4-Oct-22,2
5-Oct-22,3
6-Oct-22,4
7-Oct-22,2
8-Oct-22,1
9-Oct-22,3
10-Oct-22,4
11-Oct-22,1
12-Oct-22,3
13-Oct-22,4
14-Oct-22,2
15-Oct-22,5
16-Oct-22,4
17-Oct-22,4
18-Oct-22,1
19-Oct-22,1
20-Oct-22,5
21-Oct-22,2
22-Oct-22,3
23-Oct-22,1
24-Oct-22,3
25-Oct-22,1
26-Oct-22,6
27-Oct-22,9
28-Oct-22,2
29-Oct-22,2
30-Oct-22,4
31-Oct-22,3
1-Nov-22,6
2-Nov-22,1
3-Nov-22,4
4-Nov-22,3
5-Nov-22,1
6-Nov-22,1
7-Nov-22,2
8-Nov-22,0
9-Nov-22,2
10-Nov-22,0
11-Nov-22,1
12-Nov-22,2
13-Nov-22,4
14-Nov-22,1
15-Nov-22,2
16-Nov-22,1
17-Nov-22,0
18-Nov-22,0
19-Nov-22,0
20-Nov-22,1
21-Nov-22,1
22-Nov-22,0
23-Nov-22,1
24-Nov-22,1
25-Nov-22,2
26-Nov-22,2
27-Nov-22,1
28-Nov-22,0
29-Nov-22,1
30-Nov-22,1
1-Dec-22,0
2-Dec-22,1
3-Dec-22,0
4-Dec-22,1
5-Dec-22,1
6-Dec-22,0
7-Dec-22,0
8-Dec-22,1
9-Dec-22,1
10-Dec-22,0
11-Dec-22,2
12-Dec-22,0
13-Dec-22,0
14-Dec-22,0
15-Dec-22,1
16-Dec-22,0
17-Dec-22,0
18-Dec-22,1
19-Dec-22,1
20-Dec-22,0
21-Dec-22,0
22-Dec-22,0
23-Dec-22,2
24-Dec-22,1
25-Dec-22,1
26-Dec-22,1
27-Dec-22,1
28-Dec-22,1
29-Dec-22,0
30-Dec-22,0
31-Dec-22,0
1-Jan-23,0
