age_group,case,pr_date
12 - 19 years old,200,1-Oct-22
12 - 19 years old,207,30-Sep-22
12 - 19 years old,210,29-Sep-22
12 - 19 years old,227,28-Sep-22
12 - 19 years old,274,27-Sep-22
12 - 19 years old,95,26-Sep-22
12 - 19 years old,115,25-Sep-22
12 - 19 years old,144,24-Sep-22
12 - 19 years old,147,23-Sep-22
12 - 19 years old,165,22-Sep-22
12 - 19 years old,149,21-Sep-22
12 - 19 years old,204,20-Sep-22
12 - 19 years old,87,19-Sep-22
12 - 19 years old,99,18-Sep-22
12 - 19 years old,139,17-Sep-22
12 - 19 years old,156,16-Sep-22
12 - 19 years old,162,15-Sep-22
12 - 19 years old,166,14-Sep-22
12 - 19 years old,249,13-Sep-22
12 - 19 years old,107,12-Sep-22
12 - 19 years old,95,11-Sep-22
12 - 19 years old,120,10-Sep-22
12 - 19 years old,151,9-Sep-22
12 - 19 years old,126,8-Sep-22
12 - 19 years old,125,7-Sep-22
12 - 19 years old,186,6-Sep-22
12 - 19 years old,67,5-Sep-22
12 - 19 years old,93,4-Sep-22
12 - 19 years old,167,31-Aug-22
12 - 19 years old,212,30-Aug-22
12 - 19 years old,116,29-Aug-22
12 - 19 years old,107,28-Aug-22
12 - 19 years old,139,27-Aug-22
12 - 19 years old,156,26-Aug-22
12 - 19 years old,185,25-Aug-22
12 - 19 years old,191,24-Aug-22
12 - 19 years old,283,23-Aug-22
12 - 19 years old,126,22-Aug-22
12 - 19 years old,157,21-Aug-22
12 - 19 years old,181,20-Aug-22
12 - 19 years old,224,19-Aug-22
12 - 19 years old,307,18-Aug-22
12 - 19 years old,334,17-Aug-22
12 - 19 years old,450,16-Aug-22
12 - 19 years old,218,15-Aug-22
12 - 19 years old,280,14-Aug-22
12 - 19 years old,424,13-Aug-22
12 - 19 years old,593,12-Aug-22
12 - 19 years old,634,11-Aug-22
12 - 19 years old,165,10-Aug-22
12 - 19 years old,680,9-Aug-22
12 - 19 years old,289,8-Aug-22
12 - 19 years old,351,7-Aug-22
12 - 19 years old,449,6-Aug-22
12 - 19 years old,483,5-Aug-22
12 - 19 years old,581,4-Aug-22
12 - 19 years old,672,3-Aug-22
12 - 19 years old,969,2-Aug-22
12 - 19 years old,416,1-Aug-22
12 - 19 years old,424,31-Jul-22
12 - 19 years old,584,30-Jul-22
12 - 19 years old,682,29-Jul-22
12 - 19 years old,740,28-Jul-22
12 - 19 years old,796,27-Jul-22
12 - 19 years old,1111,26-Jul-22
12 - 19 years old,457,25-Jul-22
12 - 19 years old,486,24-Jul-22
12 - 19 years old,621,23-Jul-22
12 - 19 years old,696,22-Jul-22
12 - 19 years old,768,21-Jul-22
12 - 19 years old,872,20-Jul-22
12 - 19 years old,1106,19-Jul-22
12 - 19 years old,521,18-Jul-22
12 - 19 years old,512,17-Jul-22
12 - 19 years old,697,16-Jul-22
12 - 19 years old,831,15-Jul-22
12 - 19 years old,969,14-Jul-22
12 - 19 years old,1438,13-Jul-22
12 - 19 years old,441,12-Jul-22
12 - 19 years old,330,11-Jul-22
12 - 19 years old,501,10-Jul-22
12 - 19 years old,664,9-Jul-22
12 - 19 years old,745,8-Jul-22
12 - 19 years old,782,7-Jul-22
12 - 19 years old,780,6-Jul-22
12 - 19 years old,910,5-Jul-22
12 - 19 years old,397,4-Jul-22
12 - 19 years old,417,3-Jul-22
12 - 19 years old,548,2-Jul-22
12 - 19 years old,649,1-Jul-22
12 - 19 years old,660,30-Jun-22
12 - 19 years old,740,29-Jun-22
12 - 19 years old,910,28-Jun-22
12 - 19 years old,416,27-Jun-22
12 - 19 years old,366,26-Jun-22
12 - 19 years old,418,25-Jun-22
12 - 19 years old,397,24-Jun-22
12 - 19 years old,424,23-Jun-22
12 - 19 years old,354,22-Jun-22
12 - 19 years old,416,21-Jun-22
12 - 19 years old,199,20-Jun-22
12 - 19 years old,177,19-Jun-22
12 - 19 years old,215,18-Jun-22
12 - 19 years old,211,17-Jun-22
12 - 19 years old,217,16-Jun-22
