date,new_hospital_admissions
26-Jan-22,159
27-Jan-22,139
28-Jan-22,142
29-Jan-22,164
30-Jan-22,161
31-Jan-22,152
1-Feb-22,175
2-Feb-22,168
3-Feb-22,250
4-Feb-22,212
5-Feb-22,269
6-Feb-22,181
7-Feb-22,252
8-Feb-22,229
9-Feb-22,272
10-Feb-22,245
11-Feb-22,234
12-Feb-22,246
13-Feb-22,271
14-Feb-22,237
15-Feb-22,274
16-Feb-22,286
17-Feb-22,352
18-Feb-22,298
19-Feb-22,346
20-Feb-22,245
21-Feb-22,319
22-Feb-22,229
23-Feb-22,304
24-Feb-22,316
25-Feb-22,287
26-Feb-22,267
27-Feb-22,287
28-Feb-22,268
1-Mar-22,334
2-Mar-22,305
3-Mar-22,292
4-Mar-22,287
5-Mar-22,284
6-Mar-22,237
7-Mar-22,251
8-Mar-22,350
9-Mar-22,309
10-Mar-22,251
11-Mar-22,298
12-Mar-22,255
13-Mar-22,258
14-Mar-22,211
15-Mar-22,228
16-Mar-22,261
17-Mar-22,251
18-Mar-22,189
19-Mar-22,177
20-Mar-22,168
21-Mar-22,203
22-Mar-22,335
23-Mar-22,325
24-Mar-22,136
25-Mar-22,160
26-Mar-22,104
27-Mar-22,135
28-Mar-22,127
29-Mar-22,121
30-Mar-22,75
31-Mar-22,111
1-Apr-22,144
2-Apr-22,85
3-Apr-22,81
4-Apr-22,93
5-Apr-22,95
6-Apr-22,25
7-Apr-22,52
8-Apr-22,90
9-Apr-22,40
10-Apr-22,52
11-Apr-22,42
12-Apr-22,36
13-Apr-22,47
14-Apr-22,38
15-Apr-22,68
16-Apr-22,25
17-Apr-22,35
18-Apr-22,40
19-Apr-22,63
20-Apr-22,34
21-Apr-22,41
22-Apr-22,27
23-Apr-22,58
24-Apr-22,36
25-Apr-22,35
26-Apr-22,54
27-Apr-22,28
28-Apr-22,40
29-Apr-22,36
30-Apr-22,35
1-May-22,28
2-May-22,26
3-May-22,96
4-May-22,39
5-May-22,49
6-May-22,54
7-May-22,58
8-May-22,48
9-May-22,44
10-May-22,67
11-May-22,57
12-May-22,70
13-May-22,68
14-May-22,65
15-May-22,59
16-May-22,64
17-May-22,66
18-May-22,67
19-May-22,73
20-May-22,57
21-May-22,74
22-May-22,55
23-May-22,61
24-May-22,52
25-May-22,88
26-May-22,68
27-May-22,70
28-May-22,54
29-May-22,92
30-May-22,45
31-May-22,85
1-Jun-22,67
2-Jun-22,73
3-Jun-22,60
4-Jun-22,45
5-Jun-22,67
6-Jun-22,44
7-Jun-22,54
8-Jun-22,50
9-Jun-22,49
10-Jun-22,65
11-Jun-22,62
12-Jun-22,58
13-Jun-22,72
14-Jun-22,67
15-Jun-22,59
16-Jun-22,52
17-Jun-22,80
18-Jun-22,75
19-Jun-22,65
20-Jun-22,68
21-Jun-22,115
22-Jun-22,102
23-Jun-22,91
24-Jun-22,105
25-Jun-22,96
26-Jun-22,86
27-Jun-22,110
28-Jun-22,114
29-Jun-22,136
30-Jun-22,161
1-Jul-22,137
2-Jul-22,179
3-Jul-22,139
4-Jul-22,157
5-Jul-22,175
6-Jul-22,153
7-Jul-22,124
8-Jul-22,150
9-Jul-22,178
10-Jul-22,106
11-Jul-22,65
12-Jul-22,177
13-Jul-22,181
14-Jul-22,203
15-Jul-22,176
16-Jul-22,180
17-Jul-22,141
18-Jul-22,151
19-Jul-22,142
20-Jul-22,201
21-Jul-22,182
22-Jul-22,190
23-Jul-22,184
24-Jul-22,138
25-Jul-22,176
26-Jul-22,148
27-Jul-22,169
28-Jul-22,176
29-Jul-22,206
30-Jul-22,120
31-Jul-22,132
1-Aug-22,113
2-Aug-22,127
3-Aug-22,200
4-Aug-22,152
5-Aug-22,157
6-Aug-22,126
7-Aug-22,115
8-Aug-22,145
9-Aug-22,158
10-Aug-22,125
11-Aug-22,143
12-Aug-22,125
13-Aug-22,107
14-Aug-22,79
15-Aug-22,93
16-Aug-22,102
17-Aug-22,88
18-Aug-22,72
19-Aug-22,73
20-Aug-22,60
21-Aug-22,66
22-Aug-22,46
23-Aug-22,81
24-Aug-22,63
25-Aug-22,61
26-Aug-22,49
27-Aug-22,78
28-Aug-22,42
29-Aug-22,46
30-Aug-22,57
31-Aug-22,44
1-Sep-22,50
2-Sep-22,45
3-Sep-22,43
4-Sep-22,36
5-Sep-22,43
6-Sep-22,55
7-Sep-22,51
8-Sep-22,46
9-Sep-22,46
10-Sep-22,45
11-Sep-22,40
12-Sep-22,33
13-Sep-22,47
14-Sep-22,42
15-Sep-22,49
16-Sep-22,46
17-Sep-22,48
18-Sep-22,45
19-Sep-22,46
20-Sep-22,55
21-Sep-22,50
22-Sep-22,43
23-Sep-22,45
24-Sep-22,58
25-Sep-22,60
