as_of_date,case per 100k population,clinicalstatus,vaccination_status,dateStatusKey
19-Mar-22,0.27,Deceased (based on date of death),Fully Vaccinated (Without Booster),03/19/2022|Deceased (based on date of death)
20-Mar-22,0.25,Deceased (based on date of death),Fully Vaccinated (Without Booster),03/20/2022|Deceased (based on date of death)
21-Mar-22,0.25,Deceased (based on date of death),Fully Vaccinated (Without Booster),03/21/2022|Deceased (based on date of death)
22-Mar-22,0.23,Deceased (based on date of death),Fully Vaccinated (Without Booster),03/22/2022|Deceased (based on date of death)
23-Mar-22,0.23,Deceased (based on date of death),Fully Vaccinated (Without Booster),03/23/2022|Deceased (based on date of death)
24-Mar-22,0.22,Deceased (based on date of death),Fully Vaccinated (Without Booster),03/24/2022|Deceased (based on date of death)
25-Mar-22,0.25,Deceased (based on date of death),Fully Vaccinated (Without Booster),03/25/2022|Deceased (based on date of death)
26-Mar-22,0.24,Deceased (based on date of death),Fully Vaccinated (Without Booster),03/26/2022|Deceased (based on date of death)
27-Mar-22,0.23,Deceased (based on date of death),Fully Vaccinated (Without Booster),03/27/2022|Deceased (based on date of death)
28-Mar-22,0.19,Deceased (based on date of death),Fully Vaccinated (Without Booster),03/28/2022|Deceased (based on date of death)
29-Mar-22,0.19,Deceased (based on date of death),Fully Vaccinated (Without Booster),03/29/2022|Deceased (based on date of death)
30-Mar-22,0.19,Deceased (based on date of death),Fully Vaccinated (Without Booster),03/30/2022|Deceased (based on date of death)
31-Mar-22,0.15,Deceased (based on date of death),Fully Vaccinated (Without Booster),03/31/2022|Deceased (based on date of death)
1-Apr-22,0.09,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/1/2022|Deceased (based on date of death)
2-Apr-22,0.06,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/2/2022|Deceased (based on date of death)
3-Apr-22,0.09,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/3/2022|Deceased (based on date of death)
4-Apr-22,0.1,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/4/2022|Deceased (based on date of death)
5-Apr-22,0.1,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/5/2022|Deceased (based on date of death)
6-Apr-22,0.09,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/6/2022|Deceased (based on date of death)
7-Apr-22,0.09,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/7/2022|Deceased (based on date of death)
8-Apr-22,0.11,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/8/2022|Deceased (based on date of death)
9-Apr-22,0.12,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/9/2022|Deceased (based on date of death)
10-Apr-22,0.09,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/10/2022|Deceased (based on date of death)
11-Apr-22,0.08,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/11/2022|Deceased (based on date of death)
12-Apr-22,0.07,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/12/2022|Deceased (based on date of death)
12-Apr-22,0.08,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/12/2022|Deceased (based on date of death)
13-Apr-22,0.05,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/13/2022|Deceased (based on date of death)
14-Apr-22,0.05,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/14/2022|Deceased (based on date of death)
15-Apr-22,0.05,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/15/2022|Deceased (based on date of death)
16-Apr-22,0.04,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/16/2022|Deceased (based on date of death)
17-Apr-22,0.04,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/17/2022|Deceased (based on date of death)
18-Apr-22,0.04,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/18/2022|Deceased (based on date of death)
19-Apr-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/19/2022|Deceased (based on date of death)
20-Apr-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/20/2022|Deceased (based on date of death)
21-Apr-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/21/2022|Deceased (based on date of death)
22-Apr-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/22/2022|Deceased (based on date of death)
23-Apr-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/23/2022|Deceased (based on date of death)
24-Apr-22,0.04,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/24/2022|Deceased (based on date of death)
25-Apr-22,0.06,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/25/2022|Deceased (based on date of death)
19-Apr-22,0.06,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/19/2022|Deceased (based on date of death)
20-Apr-22,0.06,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/20/2022|Deceased (based on date of death)
21-Apr-22,0.06,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/21/2022|Deceased (based on date of death)
22-Apr-22,0.04,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/22/2022|Deceased (based on date of death)
23-Apr-22,0.04,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/23/2022|Deceased (based on date of death)
24-Apr-22,0.06,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/24/2022|Deceased (based on date of death)
26-Apr-22,0.07,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/26/2022|Deceased (based on date of death)
27-Apr-22,0.07,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/27/2022|Deceased (based on date of death)
28-Apr-22,0.07,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/28/2022|Deceased (based on date of death)
29-Apr-22,0.06,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/29/2022|Deceased (based on date of death)
30-Apr-22,0.06,Deceased (based on date of death),Fully Vaccinated (Without Booster),04/30/2022|Deceased (based on date of death)
1-May-22,0.04,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/1/2022|Deceased (based on date of death)
2-May-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/2/2022|Deceased (based on date of death)
3-May-22,0.01,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/3/2022|Deceased (based on date of death)
4-May-22,0.01,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/4/2022|Deceased (based on date of death)
5-May-22,0.01,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/5/2022|Deceased (based on date of death)
6-May-22,0.01,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/6/2022|Deceased (based on date of death)
7-May-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/7/2022|Deceased (based on date of death)
8-May-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/8/2022|Deceased (based on date of death)
9-May-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/9/2022|Deceased (based on date of death)
10-May-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/10/2022|Deceased (based on date of death)
11-May-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/11/2022|Deceased (based on date of death)
12-May-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/12/2022|Deceased (based on date of death)
13-May-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/13/2022|Deceased (based on date of death)
14-May-22,0,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/14/2022|Deceased (based on date of death)
15-May-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/15/2022|Deceased (based on date of death)
16-May-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/16/2022|Deceased (based on date of death)
19-Mar-22,0.43,ICU,Fully Vaccinated (Without Booster),03/19/2022|ICU
20-Mar-22,0.38,ICU,Fully Vaccinated (Without Booster),03/20/2022|ICU
21-Mar-22,0.34,ICU,Fully Vaccinated (Without Booster),03/21/2022|ICU
22-Mar-22,0.3,ICU,Fully Vaccinated (Without Booster),03/22/2022|ICU
23-Mar-22,0.29,ICU,Fully Vaccinated (Without Booster),03/23/2022|ICU
24-Mar-22,0.31,ICU,Fully Vaccinated (Without Booster),03/24/2022|ICU
25-Mar-22,0.35,ICU,Fully Vaccinated (Without Booster),03/25/2022|ICU
26-Mar-22,0.37,ICU,Fully Vaccinated (Without Booster),03/26/2022|ICU
27-Mar-22,0.36,ICU,Fully Vaccinated (Without Booster),03/27/2022|ICU
28-Mar-22,0.38,ICU,Fully Vaccinated (Without Booster),03/28/2022|ICU
29-Mar-22,0.39,ICU,Fully Vaccinated (Without Booster),03/29/2022|ICU
30-Mar-22,0.42,ICU,Fully Vaccinated (Without Booster),03/30/2022|ICU
31-Mar-22,0.46,ICU,Fully Vaccinated (Without Booster),03/31/2022|ICU
1-Apr-22,0.44,ICU,Fully Vaccinated (Without Booster),04/1/2022|ICU
2-Apr-22,0.44,ICU,Fully Vaccinated (Without Booster),04/2/2022|ICU
3-Apr-22,0.48,ICU,Fully Vaccinated (Without Booster),04/3/2022|ICU
4-Apr-22,0.48,ICU,Fully Vaccinated (Without Booster),04/4/2022|ICU
5-Apr-22,0.45,ICU,Fully Vaccinated (Without Booster),04/5/2022|ICU
6-Apr-22,0.39,ICU,Fully Vaccinated (Without Booster),04/6/2022|ICU
7-Apr-22,0.33,ICU,Fully Vaccinated (Without Booster),04/7/2022|ICU
8-Apr-22,0.33,ICU,Fully Vaccinated (Without Booster),04/8/2022|ICU
9-Apr-22,0.33,ICU,Fully Vaccinated (Without Booster),04/9/2022|ICU
10-Apr-22,0.31,ICU,Fully Vaccinated (Without Booster),04/10/2022|ICU
11-Apr-22,0.3,ICU,Fully Vaccinated (Without Booster),04/11/2022|ICU
12-Apr-22,0.31,ICU,Fully Vaccinated (Without Booster),04/12/2022|ICU
13-Apr-22,0.31,ICU,Fully Vaccinated (Without Booster),04/13/2022|ICU
14-Apr-22,0.3,ICU,Fully Vaccinated (Without Booster),04/14/2022|ICU
15-Apr-22,0.27,ICU,Fully Vaccinated (Without Booster),04/15/2022|ICU
16-Apr-22,0.26,ICU,Fully Vaccinated (Without Booster),04/16/2022|ICU
17-Apr-22,0.23,ICU,Fully Vaccinated (Without Booster),04/17/2022|ICU
18-Apr-22,0.23,ICU,Fully Vaccinated (Without Booster),04/18/2022|ICU
19-Apr-22,0.21,ICU,Fully Vaccinated (Without Booster),04/19/2022|ICU
20-Apr-22,0.18,ICU,Fully Vaccinated (Without Booster),04/20/2022|ICU
21-Apr-22,0.17,ICU,Fully Vaccinated (Without Booster),04/21/2022|ICU
22-Apr-22,0.17,ICU,Fully Vaccinated (Without Booster),04/22/2022|ICU
23-Apr-22,0.15,ICU,Fully Vaccinated (Without Booster),04/23/2022|ICU
24-Apr-22,0.17,ICU,Fully Vaccinated (Without Booster),04/24/2022|ICU
25-Apr-22,0.14,ICU,Fully Vaccinated (Without Booster),04/25/2022|ICU
26-Apr-22,0.14,ICU,Fully Vaccinated (Without Booster),04/26/2022|ICU
27-Apr-22,0.14,ICU,Fully Vaccinated (Without Booster),04/27/2022|ICU
28-Apr-22,0.14,ICU,Fully Vaccinated (Without Booster),04/28/2022|ICU
29-Apr-22,0.13,ICU,Fully Vaccinated (Without Booster),04/29/2022|ICU
30-Apr-22,0.12,ICU,Fully Vaccinated (Without Booster),04/30/2022|ICU
1-May-22,0.1,ICU,Fully Vaccinated (Without Booster),05/1/2022|ICU
2-May-22,0.1,ICU,Fully Vaccinated (Without Booster),05/2/2022|ICU
3-May-22,0.1,ICU,Fully Vaccinated (Without Booster),05/3/2022|ICU
4-May-22,0.1,ICU,Fully Vaccinated (Without Booster),05/4/2022|ICU
5-May-22,0.12,ICU,Fully Vaccinated (Without Booster),05/5/2022|ICU
6-May-22,0.13,ICU,Fully Vaccinated (Without Booster),05/6/2022|ICU
7-May-22,0.15,ICU,Fully Vaccinated (Without Booster),05/7/2022|ICU
8-May-22,0.17,ICU,Fully Vaccinated (Without Booster),05/8/2022|ICU
9-May-22,0.17,ICU,Fully Vaccinated (Without Booster),05/9/2022|ICU
10-May-22,0.17,ICU,Fully Vaccinated (Without Booster),05/10/2022|ICU
11-May-22,0.17,ICU,Fully Vaccinated (Without Booster),05/11/2022|ICU
12-May-22,0.15,ICU,Fully Vaccinated (Without Booster),05/12/2022|ICU
13-May-22,0.15,ICU,Fully Vaccinated (Without Booster),05/13/2022|ICU
14-May-22,0.16,ICU,Fully Vaccinated (Without Booster),05/14/2022|ICU
15-May-22,0.16,ICU,Fully Vaccinated (Without Booster),05/15/2022|ICU
16-May-22,0.17,ICU,Fully Vaccinated (Without Booster),05/16/2022|ICU
6-May-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/6/2022|Deceased (based on date of death)
7-May-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/7/2022|Deceased (based on date of death)
8-May-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/8/2022|Deceased (based on date of death)
9-May-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/9/2022|Deceased (based on date of death)
10-May-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/10/2022|Deceased (based on date of death)
11-May-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/11/2022|Deceased (based on date of death)
12-May-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/12/2022|Deceased (based on date of death)
17-May-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/17/2022|Deceased (based on date of death)
18-May-22,0.05,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/18/2022|Deceased (based on date of death)
19-May-22,0.05,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/19/2022|Deceased (based on date of death)
20-May-22,0.05,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/20/2022|Deceased (based on date of death)
21-May-22,0.05,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/21/2022|Deceased (based on date of death)
22-May-22,0.03,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/22/2022|Deceased (based on date of death)
23-May-22,0.02,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/23/2022|Deceased (based on date of death)
17-May-22,0.18,ICU,Fully Vaccinated (Without Booster),05/17/2022|ICU
18-May-22,0.18,ICU,Fully Vaccinated (Without Booster),05/18/2022|ICU
19-May-22,0.19,ICU,Fully Vaccinated (Without Booster),05/19/2022|ICU
20-May-22,0.19,ICU,Fully Vaccinated (Without Booster),05/20/2022|ICU
21-May-22,0.18,ICU,Fully Vaccinated (Without Booster),05/21/2022|ICU
22-May-22,0.16,ICU,Fully Vaccinated (Without Booster),05/22/2022|ICU
23-May-22,0.15,ICU,Fully Vaccinated (Without Booster),05/23/2022|ICU
24-May-22,0.05,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/24/2022|Deceased (based on date of death)
25-May-22,0.05,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/25/2022|Deceased (based on date of death)
26-May-22,0.05,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/26/2022|Deceased (based on date of death)
27-May-22,0.05,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/27/2022|Deceased (based on date of death)
28-May-22,0.05,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/28/2022|Deceased (based on date of death)
29-May-22,0.07,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/29/2022|Deceased (based on date of death)
30-May-22,0.07,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/30/2022|Deceased (based on date of death)
31-May-22,0.05,Deceased (based on date of death),Fully Vaccinated (Without Booster),05/31/2022|Deceased (based on date of death)
