agecat,_id,first_dose_pcttakeup,vacc_date,full_regimen_pcttakeup,ageGroup,,,
50-59,3582,97,25-Jan-22,96,50-59,,,
50-59,3583,97,26-Jan-22,96,50-59,,,
50-59,3584,97,27-Jan-22,96,50-59,,,
50-59,3585,97,28-Jan-22,96,50-59,,,
50-59,3586,97,29-Jan-22,96,50-59,,,
50-59,3587,97,30-Jan-22,96,50-59,,,
50-59,3588,97,31-Jan-22,96,50-59,,,
50-59,3589,97,1-Feb-22,96,50-59,,,
50-59,3590,97,2-Feb-22,96,50-59,,,
50-59,3591,97,3-Feb-22,96,50-59,,,
50-59,3592,97,4-Feb-22,96,50-59,,,
50-59,3593,97,5-Feb-22,96,50-59,,,
50-59,3594,97,6-Feb-22,96,50-59,,,
50-59,3595,97,7-Feb-22,96,50-59,,,
50-59,3596,97,8-Feb-22,96,50-59,,,
50-59,3597,97,9-Feb-22,96,50-59,,,
50-59,3598,97,10-Feb-22,96,50-59,,,
50-59,3599,97,11-Feb-22,96,50-59,,,
50-59,3600,97,12-Feb-22,96,50-59,,,
50-59,3601,97,13-Feb-22,96,50-59,,,
50-59,3602,97,14-Feb-22,96,50-59,,,
50-59,3603,97,15-Feb-22,96,50-59,,,
50-59,3604,97,16-Feb-22,96,50-59,,,
50-59,3605,97,17-Feb-22,96,50-59,,,
50-59,3606,97,18-Feb-22,96,50-59,,,
50-59,3607,97,19-Feb-22,96,50-59,,,
50-59,3608,97,20-Feb-22,96,50-59,,,
50-59,3609,97,21-Feb-22,96,50-59,,,
50-59,3610,97,22-Feb-22,96,50-59,,,
50-59,3611,97,23-Feb-22,96,50-59,,,
50-59,3612,97,24-Feb-22,96,50-59,,,
50-59,3613,97,25-Feb-22,96,50-59,,,
50-59,3614,97,26-Feb-22,96,50-59,,,
50-59,3615,97,27-Feb-22,96,50-59,,,
50-59,3616,97,28-Feb-22,96,50-59,,,
50-59,3617,97,1-Mar-22,96,50-59,,,
50-59,3618,97,2-Mar-22,96,50-59,,,
50-59,3619,97,3-Mar-22,96,50-59,,,
50-59,3620,97,4-Mar-22,96,50-59,,,
50-59,3621,97,5-Mar-22,96,50-59,,,
50-59,3622,97,6-Mar-22,96,50-59,,,
50-59,3623,97,7-Mar-22,96,50-59,,,
50-59,3624,97,8-Mar-22,96,50-59,,,
50-59,3625,97,9-Mar-22,96,50-59,,,
50-59,3626,97,10-Mar-22,96,50-59,,,
50-59,3627,97,11-Mar-22,96,50-59,,,
50-59,3628,97,12-Mar-22,96,50-59,,,
50-59,3629,97,13-Mar-22,96,50-59,,,
50-59,3630,97,14-Mar-22,96,50-59,,,
50-59,3631,97,15-Mar-22,96,50-59,,,
50-59,3632,97,16-Mar-22,96,50-59,,,
50-59,3633,97,17-Mar-22,96,50-59,,,
50-59,3634,97,18-Mar-22,96,50-59,,,
50-59,3635,97,19-Mar-22,96,50-59,,,
50-59,3636,97,20-Mar-22,96,50-59,,,
50-59,3637,97,21-Mar-22,96,50-59,,,
50-59,3638,97,22-Mar-22,96,50-59,,,
50-59,3639,97,23-Mar-22,96,50-59,,,
50-59,3640,97,24-Mar-22,96,50-59,,,
50-59,3641,97,25-Mar-22,96,50-59,,,
50-59,3642,97,26-Mar-22,96,50-59,,,
50-59,3643,97,27-Mar-22,96,50-59,,,
50-59,3644,97,28-Mar-22,96,50-59,,,
50-59,3645,97,29-Mar-22,96,50-59,,,
50-59,3646,97,30-Mar-22,96,50-59,,,
50-59,3647,97,31-Mar-22,96,50-59,,,
50-59,3648,97,1-Apr-22,96,50-59,,,
50-59,3649,97,2-Apr-22,96,50-59,,,
50-59,3650,97,3-Apr-22,96,50-59,,,
50-59,3651,97,4-Apr-22,96,50-59,,,
50-59,3652,97,5-Apr-22,96,50-59,,,
50-59,3653,97,6-Apr-22,96,50-59,,,
50-59,3654,97,7-Apr-22,96,50-59,,,
50-59,3655,97,8-Apr-22,96,50-59,,,
50-59,3656,97,9-Apr-22,96,50-59,,,
50-59,3657,97,10-Apr-22,96,50-59,,,
50-59,3658,97,11-Apr-22,96,50-59,,,
50-59,3659,97,12-Apr-22,96,50-59,,,
50-59,3660,97,13-Apr-22,96,50-59,,,
50-59,3661,97,14-Apr-22,96,50-59,,,
50-59,3662,97,15-Apr-22,96,50-59,,,
50-59,3663,97,16-Apr-22,96,50-59,,,
50-59,3664,97,17-Apr-22,96,50-59,,,
50-59,3665,97,18-Apr-22,96,50-59,,,
50-59,3666,97,19-Apr-22,96,50-59,,,
50-59,3667,97,20-Apr-22,96,50-59,,,
50-59,3668,97,21-Apr-22,96,50-59,,,
50-59,3669,97,22-Apr-22,96,50-59,,,
50-59,3670,97,23-Apr-22,96,50-59,,,
50-59,3671,97,24-Apr-22,96,50-59,,,
50-59,3672,97,25-Apr-22,96,50-59,,,
50-59,3673,97,26-Apr-22,96,50-59,,,
50-59,3674,97,27-Apr-22,96,50-59,,,
50-59,3675,97,28-Apr-22,96,50-59,,,
50-59,3676,97,29-Apr-22,96,50-59,,,
50-59,3677,97,30-Apr-22,96,50-59,,,
50-59,3678,97,1-May-22,96,50-59,,,
50-59,3679,97,2-May-22,96,50-59,,,
50-59,3680,97,3-May-22,96,50-59,,,
50-59,3681,97,4-May-22,96,50-59,,,
50-59,3682,97,5-May-22,96,50-59,,,
