received_two_doses_pcttakeup,received_one_dose_pcttakeup,vacc_date,received_at_least_one_dose,_id,received_at_least_two_doses
0,0,30 December 2020,124,1,0
0,0,31 December 2020,130,2,0
0,0,1 January 2021,136,3,0
0,0,2 January 2021,140,4,0
0,0,3 January 2021,148,5,0
0,0,4 January 2021,173,6,0
0,0,5 January 2021,185,7,2
0,0,6 January 2021,196,8,4
0,0,7 January 2021,212,9,6
0,0,8 January 2021,941,10,9
0,0,9 January 2021,1341,11,11
0,0,10 January 2021,1452,12,11
0,0,11 January 2021,3535,13,13
0,0,12 January 2021,6341,14,15
0,0,13 January 2021,10435,15,16
0,0,14 January 2021,15222,16,17
0,0,15 January 2021,20592,17,20
0,0,16 January 2021,22329,18,22
0,0,17 January 2021,22974,19,25
0,1,18 January 2021,30505,20,25
0,1,19 January 2021,38748,21,33
0,1,20 January 2021,47939,22,73
0,1,21 January 2021,55423,23,76
0,1,22 January 2021,63206,24,78
0,1,23 January 2021,67982,25,81
0,1,24 January 2021,72482,26,83
0,2,25 January 2021,84520,27,99
0,2,26 January 2021,97147,28,108
0,2,27 January 2021,111043,29,115
0,2,28 January 2021,125588,30,133
0,3,29 January 2021,139618,31,857
0,3,30 January 2021,146774,32,1186
0,3,31 January 2021,152406,33,1314
0,3,1 February 2021,161460,34,3421
0,3,2 February 2021,171092,35,5935
0,3,3 February 2021,182555,36,9665
0,4,4 February 2021,191282,37,14081
0,4,5 February 2021,200712,38,19345
0,4,6 February 2021,205046,39,21016
0,4,7 February 2021,207314,40,21695
1,4,8 February 2021,211277,41,29279
1,4,9 February 2021,214857,42,37605
1,4,10 February 2021,217830,43,46763
1,4,11 February 2021,219181,44,49752
1,4,12 February 2021,219198,45,49759
1,4,13 February 2021,219208,46,49765
1,4,14 February 2021,219722,47,53744
1,4,15 February 2021,220842,48,64740
1,4,16 February 2021,223140,49,78896
2,4,17 February 2021,226476,50,94539
2,4,18 February 2021,230702,51,109001
2,4,19 February 2021,236454,52,123458
2,4,20 February 2021,240270,53,131135
3,4,21 February 2021,242298,54,137126
3,5,22 February 2021,248515,55,148952
3,5,23 February 2021,256660,56,160959
3,5,24 February 2021,264283,57,172836
3,5,25 February 2021,272936,58,182919
4,5,26 February 2021,283036,59,193821
4,5,27 February 2021,291446,60,199377
4,6,28 February 2021,297621,61,201991
4,6,1 March 2021,307327,62,205395
4,6,2 March 2021,317256,63,208846
4,6,3 March 2021,328268,64,211670
4,6,4 March 2021,340453,65,213412
4,7,5 March 2021,353957,66,214355
4,7,6 March 2021,362705,67,215013
4,7,7 March 2021,367506,68,215445
4,7,8 March 2021,381090,69,216931
4,7,9 March 2021,397885,70,218885
4,8,10 March 2021,416835,71,221689
4,8,11 March 2021,439094,72,225113
4,9,12 March 2021,463998,73,230047
4,9,13 March 2021,487950,74,233509
4,9,14 March 2021,508283,75,235325
4,10,15 March 2021,536047,76,241349
5,10,16 March 2021,565195,77,248588
5,11,17 March 2021,598640,78,256204
5,12,18 March 2021,631775,79,263976
5,12,19 March 2021,668292,80,273632
5,13,20 March 2021,698400,81,282020
5,13,21 March 2021,725753,82,287718
6,14,22 March 2021,756309,83,297805
6,15,23 March 2021,784255,84,307582
6,15,24 March 2021,807873,85,318300
