booster_or_three_doses_pcttakeup,received_booster_or_three_doses,_id,vacc_date
,1366,1,14-Sep-21
,6212,2,15-Sep-21
,9422,3,16-Sep-21
,17829,4,17-Sep-21
,31056,5,18-Sep-21
,39289,6,19-Sep-21
,51402,7,20-Sep-21
,59801,8,21-Sep-21
,75314,9,22-Sep-21
,92524,10,23-Sep-21
,116390,11,24-Sep-21
,138529,12,25-Sep-21
,153999,13,26-Sep-21
,176520,14,27-Sep-21
,201101,15,28-Sep-21
,221552,16,29-Sep-21
,243014,17,30-Sep-21
,264643,18,1-Oct-21
,286738,19,2-Oct-21
,305739,20,3-Oct-21
,328044,21,4-Oct-21
,348433,22,5-Oct-21
,364423,23,6-Oct-21
,379383,24,7-Oct-21
,400599,25,8-Oct-21
,420112,26,9-Oct-21
,446553,27,10-Oct-21
,473416,28,11-Oct-21
,496311,29,12-Oct-21
,515877,30,13-Oct-21
,533767,31,14-Oct-21
,563170,32,15-Oct-21
,586257,33,16-Oct-21
,597754,34,17-Oct-21
,614135,35,18-Oct-21
,632228,36,19-Oct-21
,647179,37,20-Oct-21
,664908,38,21-Oct-21
,691173,39,22-Oct-21
,709780,40,23-Oct-21
,719649,41,24-Oct-21
,735080,42,25-Oct-21
,755703,43,26-Oct-21
,771009,44,27-Oct-21
,789523,45,28-Oct-21
,821823,46,29-Oct-21
,846451,47,30-Oct-21
,861626,48,31-Oct-21
,880080,49,1-Nov-21
,902824,50,2-Nov-21
,918849,51,3-Nov-21
,919345,52,4-Nov-21
,949370,53,5-Nov-21
,973042,54,6-Nov-21
,987568,55,7-Nov-21
,1005567,56,8-Nov-21
,1029399,57,9-Nov-21
,1050101,58,10-Nov-21
,1070208,59,11-Nov-21
,1099032,60,12-Nov-21
,1124590,61,13-Nov-21
,1141469,62,14-Nov-21
,1160341,63,15-Nov-21
,1181668,64,16-Nov-21
,1198346,65,17-Nov-21
,1215700,66,18-Nov-21
,1241991,67,19-Nov-21
,1266115,68,20-Nov-21
,1283148,69,21-Nov-21
,1301293,70,22-Nov-21
,1317894,71,23-Nov-21
,1331911,72,24-Nov-21
,1346140,73,25-Nov-21
,1372017,74,26-Nov-21
,1395315,75,27-Nov-21
,1409317,76,28-Nov-21
,1424700,77,29-Nov-21
,1446706,78,30-Nov-21
,1461570,79,1-Dec-21
,1475296,80,2-Dec-21
,1498219,81,3-Dec-21
,1519360,82,4-Dec-21
,1533935,83,5-Dec-21
,1549914,84,6-Dec-21
,1569423,85,7-Dec-21
,1585053,86,8-Dec-21
,1599346,87,9-Dec-21
,1622855,88,10-Dec-21
,1644480,89,11-Dec-21
,1658746,90,12-Dec-21
,1675709,91,13-Dec-21
,1701386,92,14-Dec-21
,1721415,93,15-Dec-21
,1743212,94,16-Dec-21
,1769648,95,17-Dec-21
,1794598,96,18-Dec-21
,1814165,97,19-Dec-21
,1843030,98,20-Dec-21
,1873109,99,21-Dec-21
,1905538,100,22-Dec-21
,1941025,101,23-Dec-21
,1963688,102,24-Dec-21
,1964084,103,25-Dec-21
,2006341,104,26-Dec-21
,2047071,105,27-Dec-21
,2092566,106,28-Dec-21
,2135506,107,29-Dec-21
,2178333,108,30-Dec-21
,2202068,109,31-Dec-21
,2202552,110,1-Jan-22
,2242890,111,2-Jan-22
,2280866,112,3-Jan-22
,2317798,113,4-Jan-22
,2352771,114,5-Jan-22
,2393125,115,6-Jan-22
,2443843,116,7-Jan-22
,2492529,117,8-Jan-22
,2533334,118,9-Jan-22
,2574779,119,10-Jan-22
,2610487,120,11-Jan-22
,2644492,121,12-Jan-22
,2679159,122,13-Jan-22
,2724083,123,14-Jan-22
,2766396,124,15-Jan-22
,2797443,125,16-Jan-22
,2829380,126,17-Jan-22
,2855506,127,18-Jan-22
,2880502,128,19-Jan-22
,2905824,129,20-Jan-22
,2939119,130,21-Jan-22
,2969449,131,22-Jan-22
,2990003,132,23-Jan-22
,3017964,133,24-Jan-22
,3042628,134,25-Jan-22
,3063720,135,26-Jan-22
,3085542,136,27-Jan-22
,3114579,137,28-Jan-22
,3138327,138,29-Jan-22
,3153641,139,30-Jan-22
,3163962,140,31-Jan-22
,3164344,141,1-Feb-22
,3164776,142,2-Feb-22
,3186081,143,3-Feb-22
,3213619,144,4-Feb-22
,3237545,145,5-Feb-22
,3255333,146,6-Feb-22
,3278789,147,7-Feb-22
,3301748,148,8-Feb-22
,3325858,149,9-Feb-22
,3352020,150,10-Feb-22
,3384972,151,11-Feb-22
,3415503,152,12-Feb-22
,3440770,153,13-Feb-22
,3464316,154,14-Feb-22
,3480616,155,15-Feb-22
,3496626,156,16-Feb-22
,3513045,157,17-Feb-22
,3536745,158,18-Feb-22
,3558836,159,19-Feb-22
,3573602,160,20-Feb-22
,3587128,161,21-Feb-22
,3597939,162,22-Feb-22
,3609136,163,23-Feb-22
,3621106,164,24-Feb-22
,3639154,165,25-Feb-22
,3656424,166,26-Feb-22
,3666907,167,27-Feb-22
,3678634,168,28-Feb-22
,3687687,169,1-Mar-22
,3695725,170,2-Mar-22
,3704571,171,3-Mar-22
,3717519,172,4-Mar-22
,3730370,173,5-Mar-22
,3737834,174,6-Mar-22
,3745893,175,7-Mar-22
,3752379,176,8-Mar-22
,3758990,177,9-Mar-22
,3766113,178,10-Mar-22
,3777518,179,11-Mar-22
,3788811,180,12-Mar-22
,3796807,181,13-Mar-22
,3805014,182,14-Mar-22
,3811846,183,15-Mar-22
,3818736,184,16-Mar-22
,3825758,185,17-Mar-22
,3834523,186,18-Mar-22
,3842059,187,19-Mar-22
,3847241,188,20-Mar-22
,3852722,189,21-Mar-22
,3857285,190,22-Mar-22
,3861822,191,23-Mar-22
,3866918,192,24-Mar-22
,3875176,193,25-Mar-22
,3882896,194,26-Mar-22
,3888343,195,27-Mar-22
,3894180,196,28-Mar-22
,3899292,197,29-Mar-22
,3904574,198,30-Mar-22
,3910096,199,31-Mar-22
,3917210,200,1-Apr-22
,3923749,201,2-Apr-22
,3928107,202,3-Apr-22
,3933421,203,4-Apr-22
,3937603,204,5-Apr-22
,3941863,205,6-Apr-22
,3946468,206,7-Apr-22
,3953554,207,8-Apr-22
,3960024,208,9-Apr-22
,3964667,209,10-Apr-22
,3969790,210,11-Apr-22
,3974454,211,12-Apr-22
,3979305,212,13-Apr-22
,3984119,213,14-Apr-22
,3984662,214,15-Apr-22
,3992500,215,16-Apr-22
,3996707,216,17-Apr-22
,4001450,217,18-Apr-22
,4005599,218,19-Apr-22
,4009627,219,20-Apr-22
,4013809,220,21-Apr-22
,4019807,221,22-Apr-22
,4025932,222,23-Apr-22
,4030601,223,24-Apr-22
,4035567,224,25-Apr-22
,4039708,225,26-Apr-22
,4043558,226,27-Apr-22
,4047621,227,28-Apr-22
,4054725,228,29-Apr-22
,4063229,229,30-Apr-22
,4063960,230,1-May-22
,4069725,231,2-May-22
