pr_date,ratio_comm_cases_pw_over_wb
19-May-22,1.14
20-May-22,1.09
20-May-22,1.09
21-May-22,1.09
21-May-22,1.09
22-May-22,1.08
22-May-22,1.08
23-May-22,1.11
23-May-22,1.11
24-May-22,1.35
24-May-22,1.35
25-May-22,1.12
25-May-22,1.12
26-May-22,1.05
26-May-22,1.05
27-May-22,1.03
27-May-22,1.03
28-May-22,1
28-May-22,1
29-May-22,0.98
29-May-22,0.98
30-May-22,0.95
30-May-22,0.95
31-May-22,0.82
31-May-22,0.82
1-Jun-22,0.87
1-Jun-22,0.87
2-Jun-22,0.88
2-Jun-22,0.88
3-Jun-22,0.87
3-Jun-22,0.87
4-Jun-22,0.86
4-Jun-22,0.86
5-Jun-22,0.86
5-Jun-22,0.86
6-Jun-22,0.86
6-Jun-22,0.86
7-Jun-22,0.87
7-Jun-22,0.87
8-Jun-22,0.9
8-Jun-22,0.9
9-Jun-22,0.89
9-Jun-22,0.89
10-Jun-22,0.91
10-Jun-22,0.91
11-Jun-22,0.93
11-Jun-22,0.93
12-Jun-22,0.96
12-Jun-22,0.96
13-Jun-22,0.97
13-Jun-22,0.97
14-Jun-22,1.01
14-Jun-22,1.01
15-Jun-22,1.02
15-Jun-22,1.02
16-Jun-22,1.06
16-Jun-22,1.06
17-Jun-22,1.12
17-Jun-22,1.12
18-Jun-22,1.13
18-Jun-22,1.13
19-Jun-22,1.14
19-Jun-22,1.14
20-Jun-22,1.17
21-Jun-22,1.23
22-Jun-22,1.3
23-Jun-22,1.38
24-Jun-22,1.42
25-Jun-22,1.48
26-Jun-22,1.52
27-Jun-22,1.56
28-Jun-22,1.62
29-Jun-22,1.65
30-Jun-22,1.62
1-Jul-22,1.6
2-Jul-22,1.55
3-Jul-22,1.51
4-Jul-22,1.45
5-Jul-22,1.34
6-Jul-22,1.26
7-Jul-22,1.19
8-Jul-22,1.14
9-Jul-22,1.11
10-Jul-22,1.09
11-Jul-22,1.05
12-Jul-22,0.91
13-Jul-22,1.01
14-Jul-22,1.02
15-Jul-22,1.03
16-Jul-22,1.03
17-Jul-22,1.03
18-Jul-22,1.08
19-Jul-22,1.36
20-Jul-22,1.11
21-Jul-22,1.05
22-Jul-22,1.02
23-Jul-22,0.99
24-Jul-22,0.98
25-Jul-22,0.94
26-Jul-22,0.82
27-Jul-22,0.88
28-Jul-22,0.88
29-Jul-22,0.88
30-Jul-22,0.88
31-Jul-22,0.87
1-Aug-22,0.87
2-Aug-22,0.85
3-Aug-22,0.85
4-Aug-22,0.83
5-Aug-22,0.82
6-Aug-22,0.82
7-Aug-22,0.83
8-Aug-22,0.82
9-Aug-22,0.81
10-Aug-22,0.74
11-Aug-22,0.79
11-Aug-22,0.79
12-Aug-22,0.79
12-Aug-22,0.79
13-Aug-22,0.78
13-Aug-22,0.78
14-Aug-22,0.74
14-Aug-22,0.74
15-Aug-22,0.74
15-Aug-22,0.74
16-Aug-22,0.71
16-Aug-22,0.71
17-Aug-22,0.84
17-Aug-22,0.84
18-Aug-22,0.72
18-Aug-22,0.72
19-Aug-22,0.67
19-Aug-22,0.67
20-Aug-22,0.65
20-Aug-22,0.65
21-Aug-22,0.66
21-Aug-22,0.66
22-Aug-22,0.65
22-Aug-22,0.65
23-Aug-22,0.66
23-Aug-22,0.66
24-Aug-22,0.6
24-Aug-22,0.6
25-Aug-22,0.65
25-Aug-22,0.65
26-Aug-22,0.67
26-Aug-22,0.67
27-Aug-22,0.69
27-Aug-22,0.69
28-Aug-22,0.7
28-Aug-22,0.7
29-Aug-22,0.71
29-Aug-22,0.71
30-Aug-22,0.73
30-Aug-22,0.73
31-Aug-22,0.75
31-Aug-22,0.75
1-Sep-22,0.77
1-Sep-22,0.77
2-Sep-22,0.8
2-Sep-22,0.8
3-Sep-22,0.8
3-Sep-22,0.8
4-Sep-22,0.82
4-Sep-22,0.82
5-Sep-22,0.82
5-Sep-22,0.82
6-Sep-22,0.86
6-Sep-22,0.86
7-Sep-22,0.9
7-Sep-22,0.9
8-Sep-22,0.93
8-Sep-22,0.93
9-Sep-22,0.96
9-Sep-22,0.96
10-Sep-22,1.01
10-Sep-22,1.01
11-Sep-22,1.02
11-Sep-22,1.02
12-Sep-22,1.06
12-Sep-22,1.06
13-Sep-22,1.11
13-Sep-22,1.11
14-Sep-22,1.11
14-Sep-22,1.11
15-Sep-22,1.12
15-Sep-22,1.12
16-Sep-22,1.11
16-Sep-22,1.11
17-Sep-22,1.1
17-Sep-22,1.1
18-Sep-22,1.1
18-Sep-22,1.1
19-Sep-22,1.08
19-Sep-22,1.08
20-Sep-22,1.04
20-Sep-22,1.04
21-Sep-22,1.04
21-Sep-22,1.04
22-Sep-22,1.03
22-Sep-22,1.03
23-Sep-22,1.03
23-Sep-22,1.03
24-Sep-22,1.06
24-Sep-22,1.06
25-Sep-22,1.07
25-Sep-22,1.07
26-Sep-22,1.1
26-Sep-22,1.1
27-Sep-22,1.19
27-Sep-22,1.19
28-Sep-22,1.24
28-Sep-22,1.24
29-Sep-22,1.29
29-Sep-22,1.29
30-Sep-22,1.37
30-Sep-22,1.37
1-Oct-22,1.41
1-Oct-22,1.41
2-Oct-22,1.45
3-Oct-22,1.49
4-Oct-22,1.56
5-Oct-22,1.63
6-Oct-22,1.7
7-Oct-22,1.7
8-Oct-22,1.73
9-Oct-22,1.74
10-Oct-22,1.74
11-Oct-22,1.73
12-Oct-22,1.7
13-Oct-22,1.66
14-Oct-22,1.64
15-Oct-22,1.56
16-Oct-22,1.52
17-Oct-22,1.45
18-Oct-22,1.31
19-Oct-22,1.19
20-Oct-22,1.09
21-Oct-22,0.99
22-Oct-22,0.93
23-Oct-22,0.88
24-Oct-22,0.85
25-Oct-22,0.69
26-Oct-22,0.71
27-Oct-22,0.69
28-Oct-22,0.68
29-Oct-22,0.66
30-Oct-22,0.66
31-Oct-22,0.66
1-Nov-22,0.87
2-Nov-22,0.73
3-Nov-22,0.7
4-Nov-22,0.69
5-Nov-22,0.68
6-Nov-22,0.66
7-Nov-22,0.66
8-Nov-22,0.55
9-Nov-22,0.62
